date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2021-05-15, 11:01:58	1500 Hz	30 W	2,5E-3 mbar	2,4E-3 mbar
2021-05-15, 11:02:00	1500 Hz	31 W	2,6E-3 mbar	2,6E-3 mbar
2021-05-15, 11:02:02	1500 Hz	32 W	3,2E-3 mbar	3E-3 mbar
2021-05-15, 11:02:04	1500 Hz	34 W	3,2E-3 mbar	3E-3 mbar
2021-05-15, 11:02:06	1500 Hz	32 W	3,2E-3 mbar	3E-3 mbar
2021-05-15, 11:02:08	1500 Hz	31 W	3,3E-3 mbar	3E-3 mbar
2021-05-15, 11:02:10	1500 Hz	33 W	3,2E-3 mbar	3E-3 mbar
2021-05-15, 11:02:12	1500 Hz	33 W	3,2E-3 mbar	3E-3 mbar
2021-05-15, 11:02:14	1500 Hz	33 W	3,2E-3 mbar	3E-3 mbar
2021-05-15, 11:02:16	1500 Hz	33 W	3,2E-3 mbar	3E-3 mbar
2021-05-15, 11:02:18	1500 Hz	32 W	3,3E-3 mbar	3E-3 mbar
2021-05-15, 11:02:20	1500 Hz	32 W	3,2E-3 mbar	3E-3 mbar
2021-05-15, 11:02:22	1500 Hz	33 W	3,2E-3 mbar	3E-3 mbar
2021-05-15, 11:02:24	1500 Hz	33 W	3,5E-3 mbar	3,4E-3 mbar
2021-05-15, 11:02:26	1500 Hz	35 W	3,9E-3 mbar	3,7E-3 mbar
2021-05-15, 11:02:28	1500 Hz	36 W	3,9E-3 mbar	3,7E-3 mbar
2021-05-15, 11:02:30	1500 Hz	36 W	4E-3 mbar	3,7E-3 mbar
2021-05-15, 11:02:32	1500 Hz	35 W	3,9E-3 mbar	3,7E-3 mbar
2021-05-15, 11:02:34	1500 Hz	34 W	3,9E-3 mbar	3,7E-3 mbar
2021-05-15, 11:02:36	1500 Hz	35 W	3,9E-3 mbar	3,7E-3 mbar
2021-05-15, 11:02:38	1500 Hz	35 W	3,9E-3 mbar	3,7E-3 mbar
2021-05-15, 11:02:40	1500 Hz	36 W	3,9E-3 mbar	3,7E-3 mbar
2021-05-15, 11:02:42	1500 Hz	36 W	3,9E-3 mbar	3,7E-3 mbar
2021-05-15, 11:02:44	1500 Hz	36 W	3,9E-3 mbar	3,8E-3 mbar
